ncbi.name,pathogenid,taxid,baltimore,order,family,genus,rna,rt,double_stranded,negative_sense,positive_sense,enveloped,circular,segmented,cytoplasm,size_MB,size_KB,CDS,GC,max_bread,max_bread_nh,tip
aichivirus c,26310400,1298633,group iv,picornavirales,picornaviridae,kobuvirus,1,0,0,0,1,0,0,0,1,0.00821,8.21,1,52.4,0,0,Aichivirus_C
aichivirus d,27724797,1897731,group iv,picornavirales,picornaviridae,kobuvirus,1,0,0,0,1,0,0,0,1,0.008087,8.087,1,55.2,45,45,Aichivirus_D
aichivirus e,27190776,1986958,group iv,picornavirales,picornaviridae,kobuvirus,1,0,0,0,1,0,0,0,1,0.008364,8.364,1,55.2,0,0,Aichivirus_E
aichivirus f,26205228,1986959,group iv,picornavirales,picornaviridae,kobuvirus,1,0,0,0,1,0,0,0,1,0.007555,7.555,1,52.1,134.8,134.8,Aichivirus_F
akabane orthobunyavirus,3512557,1933178,group v,bunyavirales,peribunyaviridae,orthobunyavirus,1,0,0,1,0,1,0,1,1,0.012035,12.035,4,36.901,186.8,186.8,Akabane_orthobunyavirus
alcelaphine gammaherpesvirus 1,3452140,35252,group i,herpesvirales,herpesviridae,macavirus,0,0,1,0,0,1,0,0,0,0.130608,130.608,71,46.2,45.8,45.8,Alcelaphine_gammaherpesvirus_1
alcelaphine gammaherpesvirus 2,3613989,138184,group i,herpesvirales,herpesviridae,macavirus,0,0,1,0,0,1,0,0,0,0.13709,137.09,70,46.6,45.4,45.4,Alcelaphine_gammaherpesvirus_2
allpahuayo mammarenavirus,3620060,144752,group v,bunyavirales,arenaviridae,mammarenavirus,1,0,0,1,0,1,0,1,1,0.010396,10.396,4,40.5972,6.4,6.4,Allpahuayo_mammarenavirus
alpaca coronavirus,27457890,1770168,group iv,nidovirales,coronaviridae,Betacoronavirus,1,0,0,0,1,1,0,0,1,0.030218278,30.21827778,10,39.8278,0,0,Alpaca_coronavirus
alphaarterivirus equid,3435819,2499620,group iv,nidovirales,arteriviridae,alphaarterivirus,1,0,0,0,1,1,0,0,1,0.012704,12.704,10,51.7,13.8,13.8,Alphaarterivirus_equid
alphacoronavirus 1,4073256,693997,group iv,nidovirales,coronaviridae,alphacoronavirus,1,0,0,0,1,1,0,0,1,0.0289705,28.9705,8,37.85,167.8,167.8,Alphacoronavirus_1
alphapapillomavirus 1,3791691,337048,group i,na,papillomaviridae,alphapapillomavirus,0,0,1,0,0,0,1,0,0,0.007917,7.917,8,39.5,0,0,Alphapapillomavirus_1
alphapapillomavirus 10,3788617,333754,group i,na,papillomaviridae,alphapapillomavirus,0,0,1,0,0,0,1,0,0,0.0078945,7.8945,8,40.95,15.8,0,Alphapapillomavirus_10
alphapapillomavirus 11,3791692,337049,group i,na,papillomaviridae,alphapapillomavirus,0,0,1,0,0,0,1,0,0,0.0077,7.7,6,36.2,0,0,Alphapapillomavirus_11
alphapapillomavirus 12,3435090,10570,group i,na,papillomaviridae,alphapapillomavirus,0,0,1,0,0,0,1,0,0,0.008028,8.028,8,48,25.2,25.2,Alphapapillomavirus_12
alphapapillomavirus 13,3788629,333766,group i,na,papillomaviridae,alphapapillomavirus,0,0,1,0,0,0,1,0,0,0.007759,7.759,7,41.9,0,0,Alphapapillomavirus_13
alphapapillomavirus 2,3791683,337039,group i,na,papillomaviridae,alphapapillomavirus,0,0,1,0,0,0,1,0,0,0.007881,7.881,7,46,0,0,Alphapapillomavirus_2
alphapapillomavirus 3,3788630,333767,group i,na,papillomaviridae,alphapapillomavirus,0,0,1,0,0,0,1,0,0,0.008037,8.037,7,45.9,0,0,Alphapapillomavirus_3
alphapapillomavirus 4,3791686,337043,group i,na,papillomaviridae,alphapapillomavirus,0,0,1,0,0,0,1,0,0,0.00786,7.86,7,48.6,0,0,Alphapapillomavirus_4
alphapapillomavirus 5,3791687,337044,group i,na,papillomaviridae,alphapapillomavirus,0,0,1,0,0,0,1,0,0,0.007808,7.808,8,39.1,0,0,Alphapapillomavirus_5
alphapapillomavirus 6,3791693,337050,group i,na,papillomaviridae,alphapapillomavirus,0,0,1,0,0,0,1,0,0,0.007844,7.844,6,38.4,0,0,Alphapapillomavirus_6
alphapapillomavirus 7,3791685,337042,group i,na,papillomaviridae,alphapapillomavirus,0,0,1,0,0,0,1,0,0,0.00785,7.85,8,39.85,0,0,Alphapapillomavirus_7
alphapapillomavirus 8,3788620,333757,group i,na,papillomaviridae,alphapapillomavirus,0,0,1,0,0,0,1,0,0,0.007966,7.966,7,40.3,0,0,Alphapapillomavirus_8
alphapapillomavirus 9,3791684,337041,group i,na,papillomaviridae,alphapapillomavirus,0,0,1,0,0,0,1,0,0,0.007894,7.894,8,37.5,0,0,Alphapapillomavirus_9
altai virus,3953012,517361,group v,bunyavirales,hantaviridae,orthohantavirus,1,0,0,1,0,1,0,1,1,0.009517294,9.517294118,3,38.464,31.6,31.6,Altai_virus
alto paraguay hantavirus,3725788,261202,group v,bunyavirales,hantaviridae,orthohantavirus,1,0,0,1,0,1,0,1,1,0.009517294,9.517294118,3,38.464,0,0,Alto_Paraguay_hantavirus
american bison gammaherpesvirus,3648128,175816,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,0,0,American_bison_gammaherpesvirus
amga orthohantavirus,26302950,1980455,group v,bunyavirales,hantaviridae,orthohantavirus,1,0,0,1,0,1,0,1,1,0.005267,5.267,2,40.6503,0,0,Amga_orthohantavirus
amur virus,3541335,86782,group v,bunyavirales,hantaviridae,orthohantavirus,1,0,0,1,0,1,0,1,1,0.009517294,9.517294118,3,38.464,180.4,0,Amur_virus
andes orthohantavirus,3471595,1980456,group v,bunyavirales,hantaviridae,orthohantavirus,1,0,0,1,0,1,0,1,1,0.012104,12.104,4,38.5428,180.4,87.4,Andes_orthohantavirus
anhanga virus,4194446,904722,group v,bunyavirales,phenuiviridae,phlebovirus,1,0,0,1,0,1,0,1,1,0.012568,12.568,4,40.029,0,0,Anhanga_virus
anlong ms bat coronavirus,27581700,1508221,group iv,nidovirales,coronaviridae,alphacoronavirus,1,0,0,0,1,1,0,0,1,0.027972773,27.97277273,7,38.5045,96,96,Anlong_Ms_bat_coronavirus
aotine betaherpesvirus 1,3477913,50290,group i,herpesvirales,herpesviridae,cytomegalovirus,0,0,1,0,0,1,0,0,0,0.219474,219.474,146,56.3,0,0,Aotine_betaherpesvirus_1
aoudad malignant catarrhal fever virus,3788217,333343,group i,herpesvirales,herpesviridae,rhadinovirus,0,0,1,0,0,1,0,0,0,0.1021695,102.1695,81,43.867,0,0,Aoudad_malignant_catarrhal_fever_virus
ape aime-itapua virus,4077862,700375,group v,bunyavirales,hantaviridae,orthohantavirus,1,0,0,1,0,1,0,1,1,0.009517294,9.517294118,3,38.464,0,0,Ape_Aime-Itapua_virus
apodemus agrarius rhadinovirus 1,3765575,308716,group i,herpesvirales,herpesviridae,rhadinovirus,0,0,1,0,0,1,0,0,0,0.1021695,102.1695,81,43.867,0,0,Apodemus_agrarius_rhadinovirus_1
apodemus flavicollis cytomegalovirus 1,3877219,431616,group i,herpesvirales,herpesviridae,cytomegalovirus,0,0,1,0,0,1,0,0,0,0.223810667,223.8106667,167,52.383,0,0,Apodemus_flavicollis_cytomegalovirus_1
apodemus flavicollis cytomegalovirus 2,3877220,431617,group i,herpesvirales,herpesviridae,cytomegalovirus,0,0,1,0,0,1,0,0,0,0.223810667,223.8106667,167,52.383,0,0,Apodemus_flavicollis_cytomegalovirus_2
apodemus flavicollis cytomegalovirus 3,3899503,456833,group i,herpesvirales,herpesviridae,cytomegalovirus,0,0,1,0,0,1,0,0,0,0.223810667,223.8106667,167,52.383,0,0,Apodemus_flavicollis_cytomegalovirus_3
apodemus flavicollis rhadinovirus 1,3846807,398032,group i,herpesvirales,herpesviridae,rhadinovirus,0,0,1,0,0,1,0,0,0,0.1021695,102.1695,81,43.867,0,0,Apodemus_flavicollis_rhadinovirus_1
apodemus sylvaticus cytomegalovirus 1,3877221,431619,group i,herpesvirales,herpesviridae,cytomegalovirus,0,0,1,0,0,1,0,0,0,0.223810667,223.8106667,167,52.383,0,0,Apodemus_sylvaticus_cytomegalovirus_1
araguari virus,3805214,352236,group v,articulavirales,orthomyxoviridae,thogotovirus,1,0,0,1,0,1,0,1,0,0.010574,10.574,6,45.8601,0,0,Araguari_virus
araucaria virus,3765044,308159,group v,bunyavirales,hantaviridae,orthohantavirus,1,0,0,1,0,1,0,1,1,0.009517294,9.517294118,3,38.464,180.4,29.8,Araucaria_virus
aravan lyssavirus,3681667,211977,group v,mononegavirales,rhabdoviridae,lyssavirus,1,0,0,1,0,1,0,0,1,0.011918,11.918,5,44.9,136.4,136.4,Aravan_lyssavirus
arctic fox amdovirus,26747873,1513314,group ii,na,parvoviridae,amdoparvovirus,0,0,0,0,1,0,0,0,0,0.004723,4.723,5,37.133,0,0,Arctic_fox_amdovirus
argentinian mammarenavirus,3436479,2169991,group v,bunyavirales,arenaviridae,mammarenavirus,1,0,0,1,0,1,0,1,1,0.010525,10.525,4,41.5667,186.8,186.8,Argentinian_mammarenavirus
aroa virus,3502593,64303,group iv,na,flaviviridae,flavivirus,1,0,0,0,1,1,0,0,1,0.001032,1.032,1,50,180.4,180.4,Aroa_virus
artashat orthonairovirus,26531918,2170061,group v,bunyavirales,nairoviridae,orthonairovirus,1,0,0,1,0,1,0,1,1,0.017454,17.454,3,44.8483,134.6,134.6,Artashat_orthonairovirus
artibeus jamaicensis parvovirus 1,27222176,1131485,group ii,na,parvoviridae,parvovirinae,0,0,0,0,1,0,0,0,0,0.004595,4.595,2,49.1,0,0,Artibeus_jamaicensis_parvovirus_1
artibeus lituratus adenovirus,2211153,2211153,group i,na,adenoviridae,adenoviridae,0,0,1,0,0,0,0,0,0,0.035284733,35.28473333,35,53.1664,0,0,Artibeus_lituratus_adenovirus
artybash virus,3953011,517360,group v,bunyavirales,hantaviridae,orthohantavirus,1,0,0,1,0,1,0,1,1,0.009517294,9.517294118,3,38.464,0,0,Artybash_virus
arvicola terrestris cytomegalovirus 1,3877222,431620,group i,herpesvirales,herpesviridae,cytomegalovirus,0,0,1,0,0,1,0,0,0,0.223810667,223.8106667,167,52.383,0,0,Arvicola_terrestris_cytomegalovirus_1
asama orthohantavirus,3991076,1980457,group v,bunyavirales,hantaviridae,orthohantavirus,1,0,0,1,0,1,0,1,1,0.005314,5.314,2,36.3827,0,0,Asama_orthohantavirus
ash river virus,3907869,466216,group v,bunyavirales,hantaviridae,orthohantavirus,1,0,0,1,0,1,0,1,1,0.009517294,9.517294118,3,38.464,0,0,Ash_River_virus
asian elephant endotheliolytic herpesvirus,3549233,91179,group i,herpesvirales,herpesviridae,herpesviridae,0,0,1,0,0,1,0,0,0,0.150500516,150.5005156,63,55.8906,0,0,Asian_elephant_endotheliolytic_herpesvirus
asikkala orthohantavirus,26302884,1980458,group v,bunyavirales,hantaviridae,orthohantavirus,1,0,0,1,0,1,0,1,1,0.006612,6.612,3,38.5632,0,0,Asikkala_orthohantavirus
asinine herpesvirus 4,3682072,212430,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,0,0,Asinine_herpesvirus_4
asinine herpesvirus 5,3682077,212435,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,13.8,13.8,Asinine_herpesvirus_5
asinine herpesvirus 6,3682078,212436,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,0,0,Asinine_herpesvirus_6
asturias virus,26205110,2052560,group v,bunyavirales,hantaviridae,orthohantavirus,1,0,0,1,0,1,0,1,1,0.009517294,9.517294118,3,38.464,0,0,Asturias_virus
ateline gammaherpesvirus 2,3434843,10380,group i,herpesvirales,herpesviridae,rhadinovirus,0,0,1,0,0,1,0,0,0,0.002577,2.577,1,33.8,41.8,41.8,Ateline_gammaherpesvirus_2
atypical cytopathic virus,3455201,37140,group i,herpesvirales,herpesviridae,betaherpesvirinae,0,0,1,0,0,1,0,0,0,0.187545625,187.545625,115,50.84375,0,0,Atypical_cytopathic_virus
atypical porcine pestivirus,25871147,1914447,group iv,na,flaviviridae,pestivirus,1,0,0,0,1,1,0,0,1,0.012256475,12.256475,1,45.746,0,0,Atypical_porcine_pestivirus
australian bat lyssavirus,3548822,90961,group v,mononegavirales,rhabdoviridae,lyssavirus,1,0,0,1,0,1,0,0,1,0.011822,11.822,5,44.2,186.8,167.8,Australian_bat_lyssavirus
avastrovirus 2,26552357,1239438,group iv,na,astroviridae,avastrovirus,1,0,0,0,1,0,0,0,1,0.006927,6.927,2,46.3,0,0,Avastrovirus_2
avian avulavirus 1,3436049,11176,group v,mononegavirales,paramyxoviridae,avulavirus,1,0,0,1,0,1,0,0,1,0.015192,15.192,6,46.8,186.8,172,Avian_avulavirus_1
avian coronavirus,4073271,694014,group iv,nidovirales,coronaviridae,Gammacoronavirus,1,0,0,0,1,1,0,0,1,0.0276325,27.6325,10,38.1,0,0,Avian_coronavirus
avian gyrovirus 2,24584726,1002273,group ii,na,circoviridae,gyrovirus,0,0,0,0,1,0,1,0,0,0.002383,2.383,3,53.6,186.8,0,Avian_gyrovirus_2
avian orthoreovirus,3456925,38170,group iii,na,reoviridae,orthoreovirus,1,0,1,0,0,0,0,1,1,0.023494,23.494,10,48.6105,0,0,Avian_orthoreovirus
azagny virus,24583981,1001081,group v,bunyavirales,hantaviridae,orthohantavirus,1,0,0,1,0,1,0,1,1,0.009517294,9.517294118,3,38.464,0,0,Azagny_virus
baboon cytomegalovirus,3597999,120505,group i,herpesvirales,herpesviridae,cytomegalovirus,0,0,1,0,0,1,0,0,0,0.223810667,223.8106667,167,52.383,11,11,Baboon_cytomegalovirus
baboon endogenous virus,3667063,196403,group vi,ortervirales,retroviridae,gammaretrovirus,1,1,0,0,1,1,0,0,0,0.008507,8.507,3,51.1,25.4,25.4,Baboon_endogenous_virus
baboon orthoreovirus,3522003,75888,group iii,na,reoviridae,orthoreovirus,1,0,1,0,0,0,0,1,1,0.022435,22.435,11,37.7922,11,11,Baboon_orthoreovirus
balaenoptera acutorostrata gammaherpesvirus 1,27688969,1758209,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,0,0,Balaenoptera_acutorostrata_gammaherpesvirus_1
balaenoptera acutorostrata gammaherpesvirus 2,27688971,1758210,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,0,0,Balaenoptera_acutorostrata_gammaherpesvirus_2
balaenoptera physalus alphaherpesvirus,27445706,1758211,group i,herpesvirales,herpesviridae,alphaherpesvirinae,0,0,1,0,0,1,0,0,0,0.144144,144.144,86,73.4,0,0,Balaenoptera_physalus_alphaherpesvirus
bamboo rat circovirus,2305270,2305270,group ii,na,circoviridae,circovirus,0,0,0,0,1,0,1,0,0,0.002112,2.112,2,55.1,0,0,Bamboo_rat_circovirus
bandicota indica cytomegalovirus 1,3877223,431621,group i,herpesvirales,herpesviridae,cytomegalovirus,0,0,1,0,0,1,0,0,0,0.223810667,223.8106667,167,52.383,0,0,Bandicota_indica_cytomegalovirus_1
bandicota indica cytomegalovirus 2,3877224,431622,group i,herpesvirales,herpesviridae,cytomegalovirus,0,0,1,0,0,1,0,0,0,0.223810667,223.8106667,167,52.383,0,0,Bandicota_indica_cytomegalovirus_2
bandicota indica cytomegalovirus 3,3877225,431623,group i,herpesvirales,herpesviridae,cytomegalovirus,0,0,1,0,0,1,0,0,0,0.223810667,223.8106667,167,52.383,0,0,Bandicota_indica_cytomegalovirus_3
bandicota indica cytomegalovirus 4,3877226,431624,group i,herpesvirales,herpesviridae,cytomegalovirus,0,0,1,0,0,1,0,0,0,0.223810667,223.8106667,167,52.383,0,0,Bandicota_indica_cytomegalovirus_4
bandicota savilei rhadinovirus 1,3846808,398033,group i,herpesvirales,herpesviridae,rhadinovirus,0,0,1,0,0,1,0,0,0,0.1021695,102.1695,81,43.867,0,0,Bandicota_savilei_rhadinovirus_1
banna virus,3525422,77763,group iii,na,reoviridae,seadornavirus,1,0,1,0,0,0,0,1,1,0.020682,20.682,12,39.3541,186.8,123.8,Banna_virus
barmah forest virus,3435773,11020,group iv,na,togaviridae,alphavirus,1,0,0,0,1,1,0,0,1,0.011488,11.488,4,48.5,0,0,Barmah_Forest_virus
barur ledantevirus,24562545,1978534,group v,mononegavirales,rhabdoviridae,ledantevirus,1,0,0,1,0,1,0,0,1,0.010853,10.853,5,41.4,0,0,Barur_ledantevirus
bastrovirus bas-1,27699795,2025396,group iv,na,astroviridae,astroviridae,1,0,0,0,1,0,0,0,1,0.006001923,6.001923077,3,48.4015,0,0,Bastrovirus_BAS-1
bat associated circovirus,2486204,2486204,group ii,na,circoviridae,circovirus,0,0,0,0,1,0,1,0,0,0.001764,1.764,2,50.7,43.6,43.6,Bat_associated_circovirus
bat associated circovirus 1,1868218,1868218,group ii,na,circoviridae,circovirus,0,0,0,0,1,0,1,0,0,0.001862,1.862,2,46.2,0,0,Bat_associated_circovirus_1
bat associated circovirus 10,2560338,2560338,group ii,na,circoviridae,circovirus,0,0,0,0,1,0,1,0,0,0.00188975,1.88975,2,50,0,0,Bat_associated_circovirus_10
bat associated circovirus 2,1868219,1868219,group ii,na,circoviridae,circovirus,0,0,0,0,1,0,1,0,0,0.001798,1.798,2,47.3,0,0,Bat_associated_circovirus_2
bat associated circovirus 3,1868220,1868220,group ii,na,circoviridae,circovirus,0,0,0,0,1,0,1,0,0,0.00176,1.76,2,46.1,0,0,Bat_associated_circovirus_3
bat associated circovirus 4,27414310,2003309,group ii,na,circoviridae,circovirus,0,0,0,0,1,0,1,0,0,0.001767,1.767,2,48.5,0,0,Bat_associated_circovirus_4
bat associated circovirus 5,2003310,2003310,group ii,na,circoviridae,circovirus,0,0,0,0,1,0,1,0,0,0.002094,2.094,1,52.4,0,0,Bat_associated_circovirus_5
bat associated circovirus 6,2003311,2003311,group ii,na,circoviridae,circovirus,0,0,0,0,1,0,1,0,0,0.00188,1.88,1,49.6,0,0,Bat_associated_circovirus_6
bat associated circovirus 7,2003312,2003312,group ii,na,circoviridae,circovirus,0,0,0,0,1,0,1,0,0,0.001944,1.944,1,51.3,0,0,Bat_associated_circovirus_7
bat associated circovirus 8,2003313,2003313,group ii,na,circoviridae,circovirus,0,0,0,0,1,0,1,0,0,0.002069,2.069,1,54.6,0,0,Bat_associated_circovirus_8
bat associated circovirus 9,2169823,2169823,group ii,na,circoviridae,circovirus,0,0,0,0,1,0,1,0,0,0.0019,1.9,1,54.5,0,0,Bat_associated_circovirus_9
bat associated cyclovirus 10,1987735,1987735,group ii,na,circoviridae,cyclovirus,0,0,0,0,1,0,1,0,0,0.00179,1.79,2,48.2,38.2,38.2,Bat_associated_cyclovirus_10
bat associated cyclovirus 12,1987737,1987737,group ii,na,circoviridae,cyclovirus,0,0,0,0,1,0,1,0,0,0.001755,1.755,2,45.3,38.2,38.2,Bat_associated_cyclovirus_12
bat associated cyclovirus 13,1987738,1987738,group ii,na,circoviridae,cyclovirus,0,0,0,0,1,0,1,0,0,0.001809,1.809,1,48.1,0,0,Bat_associated_cyclovirus_13
bat associated cyclovirus 14,27464166,1987739,group ii,na,circoviridae,circovirus,0,0,0,0,1,0,1,0,0,0.001923,1.923,2,49.4,0,0,Bat_associated_cyclovirus_14
bat associated cyclovirus 15,27464168,1987740,group ii,na,circoviridae,circovirus,0,0,0,0,1,0,1,0,0,0.001916,1.916,2,49.4,0,0,Bat_associated_cyclovirus_15
bat associated cyclovirus 16,27697599,1987741,group ii,na,circoviridae,circovirus,0,0,0,0,1,0,1,0,0,0.00188975,1.88975,2,50,0,0,Bat_associated_cyclovirus_16
bat associated cyclovirus 6,1987731,1987731,group ii,na,circoviridae,cyclovirus,0,0,0,0,1,0,1,0,0,0.001688,1.688,1,44.5,0,0,Bat_associated_cyclovirus_6
bat associated cyclovirus 7,1987732,1987732,group ii,na,circoviridae,cyclovirus,0,0,0,0,1,0,1,0,0,0.002379,2.379,1,40.7,0,0,Bat_associated_cyclovirus_7
bat associated cyclovirus 8,1987733,1987733,group ii,na,circoviridae,cyclovirus,0,0,0,0,1,0,1,0,0,0.001746,1.746,1,44.2,0,0,Bat_associated_cyclovirus_8
bat associated cyclovirus 9,1987734,1987734,group ii,na,circoviridae,cyclovirus,0,0,0,0,1,0,1,0,0,0.00176,1.76,1,44.9,0,0,Bat_associated_cyclovirus_9
bat astrovirus,26205112,1697918,group iv,na,astroviridae,astroviridae,1,0,0,0,1,0,0,0,1,0.006001923,6.001923077,3,48.4015,136.4,136.4,Bat_astrovirus
bat astrovirus 1,3977363,548468,group iv,na,astroviridae,mamastrovirus,1,0,0,0,1,0,0,0,1,0.005421793,5.421793103,3,46.8172,134.8,134.8,Bat_astrovirus_1
bat bastrovirus,2169486,2169486,group iv,na,astroviridae,astroviridae,1,0,0,0,1,0,0,0,1,0.006001923,6.001923077,3,48.4015,0,0,Bat_bastrovirus
bat betacoronavirus,26205114,1805463,group iv,nidovirales,coronaviridae,betacoronavirus,1,0,0,0,1,1,0,0,1,0.030218278,30.21827778,10,39.8278,0,0,Bat_betacoronavirus
bat betaherpesvirus 2,4051168,668548,group i,herpesvirales,herpesviridae,betaherpesvirinae,0,0,1,0,0,1,0,0,0,0.187545625,187.545625,115,50.84375,0,0,Bat_betaherpesvirus_2
bat bocavirus,26205118,1329649,group ii,na,parvoviridae,bocaparvovirus,0,0,0,0,1,0,0,0,0,0.005203,5.203,4,48,134.8,134.8,Bat_bocavirus
bat bornavirus,26205120,1340806,group v,mononegavirales,bornaviridae,bornaviridae,1,0,0,1,0,1,0,0,0,0.008769,8.769,6,43.731,43.6,43.6,Bat_bornavirus
bat calicivirus,26205122,1514705,group iv,na,caliciviridae,caliciviridae,1,0,0,0,1,0,0,0,1,0.007632578,7.632577778,3,51.1,136.4,136.4,Bat_calicivirus
bat calicivirus a10,2184710,2184710,group iv,na,caliciviridae,caliciviridae,1,0,0,0,1,0,0,0,1,0.007632578,7.632577778,3,51.1,0,0,Bat_calicivirus_A10
bat circovirus,26205124,1329650,group ii,na,circoviridae,circovirus,0,0,0,0,1,0,1,0,0,0.002113,2.113,2,53.9,134.8,134.8,Bat_circovirus
bat coronavirus,26205126,1508220,group iv,nidovirales,coronaviridae,coronavirinae,1,0,0,0,1,1,0,0,1,0.029642,29.642,10,41.2,136.4,136.4,Bat_coronavirus
bat coronavirus hku10,26205152,1244203,group iv,nidovirales,coronaviridae,alphacoronavirus,1,0,0,0,1,1,0,0,1,0.028494,28.494,9,38.5,136.4,136.4,Bat_coronavirus_HKU10
bat cyclovirus,2169485,2169485,group ii,na,circoviridae,cyclovirus,0,0,0,0,1,0,1,0,0,0.0018111,1.8111,2,44.433,0,0,Bat_cyclovirus
bat dicistrovirus,26205168,1340808,group iv,picornavirales,dicistroviridae,dicistroviridae,1,0,0,0,1,0,0,0,1,0.009311593,9.311592593,2,39.0481,0,0,Bat_dicistrovirus
bat filovirus,26205174,1677943,group v,mononegavirales,filoviridae,filoviridae,1,0,0,1,0,1,0,0,1,0.018938214,18.93821429,9,41.65,45.2,45.2,Bat_filovirus
bat gammaherpesvirus 8,26205184,1778911,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,0,0,Bat_gammaherpesvirus_8
bat gammaretrovirus,26205186,1157040,group vi,ortervirales,retroviridae,gammaretrovirus,1,1,0,0,1,1,0,0,0,0.006970333,6.970333333,3,51.778,136.4,136.4,Bat_gammaretrovirus
bat hepacivirus,25871155,1325446,group iv,na,flaviviridae,hepacivirus,1,0,0,0,1,1,0,0,1,0.009224,9.224,1,52.7,134.8,134.8,Bat_hepacivirus
bat hepatitis virus,26205190,1303386,group vii,na,hepadnaviridae,orthohepadnavirus,0,1,1,0,0,0,1,0,0,0.00317933,3.17933,5,46.34,134.8,134.8,Bat_hepatitis_virus
bat hepatovirus,26205192,1745250,group iv,picornavirales,picornaviridae,hepatovirus,1,0,0,0,1,0,0,0,1,0.007333,7.333,1,36.3,136.4,136.4,Bat_hepatovirus
