pathogenid,Name,abs,classified,TID,B,O,F,G,G_abb
27271402,myotis mystacinus betaherpesvirus 1,myotis mystacinus betaherpesvirus 1,0,1325391,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27271404,nyctalus lasiopterus betaherpesvirus 1,nyctalus lasiopterus betaherpesvirus 1,0,1325393,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27271406,nyctalus leisleri betaherpesvirus 1,nyctalus leisleri betaherpesvirus 1,0,1325394,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27764685,nyctalus noctula betaherpesvirus 1,nyctalus noctula betaherpesvirus 1,0,1325395,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
3750469,nycticebus coucang betaherpesvirus 1,nycticebus coucang betaherpesvirus 1,0,291832,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27541023,pipistrellus kuhlii betaherpesvirus 1,pipistrellus kuhlii betaherpesvirus 1,0,1325396,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27764707,pipistrellus pipistrellus betaherpesvirus 1,pipistrellus pipistrellus betaherpesvirus 1,0,1325397,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27541025,pipistrellus pipistrellus betaherpesvirus 2,pipistrellus pipistrellus betaherpesvirus 2,0,1325398,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27741053,pipistrellus pygmaeus betaherpesvirus 1,pipistrellus pygmaeus betaherpesvirus 1,0,1325399,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27271408,plecotus austriacus betaherpesvirus 1,plecotus austriacus betaherpesvirus 1,0,1325400,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27741055,plecotus austriacus betaherpesvirus 2,plecotus austriacus betaherpesvirus 2,0,1325401,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27271410,rhinolophus ferrumequinum betaherpesvirus 2,rhinolophus ferrumequinum betaherpesvirus 2,0,1325402,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27741057,rhinolophus hipposideros betaherpesvirus 1,rhinolophus hipposideros betaherpesvirus 1,0,1325403,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27764711,rousettus aegyptiacus betaherpesvirus 1,rousettus aegyptiacus betaherpesvirus 1,0,1325404,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27764713,rousettus aegyptiacus betaherpesvirus 2,rousettus aegyptiacus betaherpesvirus 2,0,1325405,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
4250817,sorex araneus betaherpesvirus 1,sorex araneus betaherpesvirus 1,0,1000653,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
4250818,sorex araneus betaherpesvirus 2,sorex araneus betaherpesvirus 2,0,1000654,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
4250819,sorex araneus betaherpesvirus 3,sorex araneus betaherpesvirus 3,0,1000655,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
4250820,sorex araneus betaherpesvirus 4,sorex araneus betaherpesvirus 4,0,1000656,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
4250821,sorex araneus betaherpesvirus 5,sorex araneus betaherpesvirus 5,0,1000657,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
4250822,sorex minutus betaherpesvirus 1,sorex minutus betaherpesvirus 1,0,1000658,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
4250823,sorex minutus betaherpesvirus 2,sorex minutus betaherpesvirus 2,0,1000659,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27541027,tadarida teniotis betaherpesvirus 1,tadarida teniotis betaherpesvirus 1,0,1325406,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27541029,tadarida teniotis betaherpesvirus 2,tadarida teniotis betaherpesvirus 2,0,1325407,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
3477913,aotine betaherpesvirus 1,Aotine betaherpesvirus 1,1,50290,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3877219,apodemus flavicollis cytomegalovirus 1,apodemus flavicollis cytomegalovirus 1,0,431616,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3877220,apodemus flavicollis cytomegalovirus 2,apodemus flavicollis cytomegalovirus 2,0,431617,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3899503,apodemus flavicollis cytomegalovirus 3,apodemus flavicollis cytomegalovirus 3,0,456833,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3877221,apodemus sylvaticus cytomegalovirus 1,apodemus sylvaticus cytomegalovirus 1,0,431619,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3877222,arvicola terrestris cytomegalovirus 1,arvicola terrestris cytomegalovirus 1,0,431620,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3597999,baboon cytomegalovirus,baboon cytomegalovirus,0,120505,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3877223,bandicota indica cytomegalovirus 1,bandicota indica cytomegalovirus 1,0,431621,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3877224,bandicota indica cytomegalovirus 2,bandicota indica cytomegalovirus 2,0,431622,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3877225,bandicota indica cytomegalovirus 3,bandicota indica cytomegalovirus 3,0,431623,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3877226,bandicota indica cytomegalovirus 4,bandicota indica cytomegalovirus 4,0,431624,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3750460,cercocebus agilis cytomegalovirus 1,cercocebus agilis cytomegalovirus 1,0,291823,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3477917,cercopithecine betaherpesvirus 5,CeHV-5,1,50292,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3765565,cercopithecus cephus cytomegalovirus 1,cercopithecus cephus cytomegalovirus 1,0,308706,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
27495294,cercopithecus kandti cytomegalovirus,cercopithecus kandti cytomegalovirus,0,1869107,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3673428,colobus badius cytomegalovirus 1,colobus badius cytomegalovirus 1,0,203137,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3673430,colobus guereza cytomegalovirus 1,colobus guereza cytomegalovirus 1,0,203139,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3765566,crocidura russula cytomegalovirus 1,crocidura russula cytomegalovirus 1,0,308707,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
26205614,gorilla beringei beringei cytomegalovirus,gorilla beringei beringei cytomegalovirus,0,1869108,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3434804,human betaherpesvirus 5,HHV-5,0,10359,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3765562,macaca fascicularis cytomegalovirus 1,macaca fascicularis cytomegalovirus 1,0,308703,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3434829,macaca mulatta cytomegalovirus,macaca mulatta cytomegalovirus,0,10373,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3473948,macacine betaherpesvirus 3,,,47929,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3619538,mandrillus cytomegalovirus,,,144209,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3877227,microtus agrestis cytomegalovirus 1,microtus agrestis cytomegalovirus 1,0,431626,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3877228,microtus arvalis cytomegalovirus 1,microtus arvalis cytomegalovirus 1,0,431627,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3899163,mus cervicolor cytomegalovirus 1,mus cervicolor cytomegalovirus 1,0,456489,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
4104791,mus musculus cytomegalovirus 2,mus musculus cytomegalovirus 2,0,752241,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3899501,myodes glareolus cytomegalovirus 1,myodes glareolus cytomegalovirus 1,0,456831,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3877229,ondatra zibethicus cytomegalovirus 1,ondatra zibethicus cytomegalovirus 1,0,431629,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3660176,panine betaherpesvirus 2,,,188763,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3698419,phacochoerus africanus cytomegalovirus 1,,,230456,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3673429,pongo pygmaeus cytomegalovirus 1,,,203138,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3877230,rattus exulans cytomegalovirus 1,rattus exulans cytomegalovirus 1,0,431630,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3877231,rattus rattus cytomegalovirus 1,rattus rattus cytomegalovirus 1,0,431631,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3877232,rattus tiomanicus cytomegalovirus 1,rattus tiomanicus cytomegalovirus 1,0,431632,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3610481,saimiriine herpesvirus 3,,,134392,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3434812,simian cytomegalovirus,,,10364,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
4030896,squirrel monkey cytomegalovirus 1,squirrel monkey cytomegalovirus 1,0,643649,group i,herpesvirales,herpesviridae,cytomegalovirus,CMV
3648128,american bison gammaherpesvirus,american bison gammaherpesvirus,0,175816,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3682072,asinine herpesvirus 4,,,212430,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3682077,asinine herpesvirus 5,,,212435,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3682078,asinine herpesvirus 6,,,212436,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27688969,balaenoptera acutorostrata gammaherpesvirus 1,balaenoptera acutorostrata gammaherpesvirus 1,0,1758209,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27688971,balaenoptera acutorostrata gammaherpesvirus 2,balaenoptera acutorostrata gammaherpesvirus 2,0,1758210,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
26205184,bat gammaherpesvirus 8,,,1778911,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27708917,bighorn sheep gammaherpesvirus,,,1834525,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3511464,bovine lymphotropic herpesvirus,BLHV,1,69955,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
26747639,canid herpesvirus 2,CHV-2,1,1288357,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3979193,cynomys herpesvirus,,,550803,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3572075,deer malignant catarrhal fever virus,,,104223,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27541063,elephant gammaherpesvirus 1b,,,1325581,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
4117051,elephant gammaherpesvirus 2,,,768741,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27467794,elephant gammaherpesvirus 4,,,1806069,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
4117054,elephant gammaherpesvirus 5,,,768744,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3806500,elephantid herpesvirus 3,,,353637,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3806501,elephantid herpesvirus 4,,,353638,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3884241,elephantid herpesvirus 6,,,439203,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27708919,elk gammaherpesvirus 1,,,1834526,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27708921,elk gammaherpesvirus 2,ElkHV-2,1,1834527,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27483737,elk gammaherpesvirus 3,,,1834528,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3750257,equid gammaherpesvirus 7,,,291612,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
24616158,fisher herpesvirus,,,1045882,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27445749,grampus griseus gammaherpesvirus,grampus griseus gammaherpesvirus,0,1758219,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27285944,harp seal herpesvirus,harp seal herpesvirus,0,1419109,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3788606,hawaiian monk seal herpesvirus,hawaiian monk seal herpesvirus,0,333743,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27553411,hooded seal herpesvirus,hooded seal herpesvirus,0,1419110,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3757163,impala herpesvirus 1,,,299474,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27406664,leopardus pardalis gammaherpesvirus 1,leopardus pardalis gammaherpesvirus 1,0,1706830,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27772743,lynx rufus gammaherpesvirus 1,lynx rufus gammaherpesvirus 1,0,1452541,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27406666,lynx rufus gammaherpesvirus 2,lynx rufus gammaherpesvirus 2,0,1706831,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3879345,macropodid herpesvirus 3,,,434028,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27471584,macropodid herpesvirus 6,,,1814125,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27483741,marten gammaherpesvirus 1,,,1834530,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27483743,marten gammaherpesvirus 2,,,1834531,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27404176,myotis ricketti herpesvirus 1,,,1200670,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27404180,myotis ricketti herpesvirus 2,,,1200671,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3799300,northern elephant seal herpesvirus,northern elephant seal herpesvirus,0,345308,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
4054283,otariid herpesvirus 2,,,672017,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27236560,otariid herpesvirus 3,,,1204577,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27259436,phascolarctid herpesvirus 1,,,1130095,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27459000,phascolarctid herpesvirus 2,,,1210004,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3473022,phocid gammaherpesvirus 2,,,47419,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
4054287,phocid herpesvirus 5,,,672021,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
26745973,phocid herpesvirus 7,,,1628896,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27411528,phocoenid herpesvirus 1,,,1720233,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27708923,porcupine caribou gammaherpesvirus 1,porcupine caribou gammaherpesvirus 1,0,1834532,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27708925,porcupine caribou gammaherpesvirus 2,porcupine caribou gammaherpesvirus 2,0,1834533,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27540817,pteropine herpesvirus 2,,,1324804,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
26747805,puma concolor gammaherpesvirus 1,puma concolor gammaherpesvirus 1,0,1452542,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
26745639,reindeer gammaherpesvirus,,,1249499,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27553413,ringed seal herpesvirus,northern elephant seal herpesvirus,0,1419111,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27376841,rupicapra pyrenaica gammaherpesvirus 1,rupicapra pyrenaica gammaherpesvirus 1,0,1647106,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3846198,rupicapra rupicapra gammaherpesvirus 1,rupicapra rupicapra gammaherpesvirus 1,0,397369,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3904562,sorex araneus gammaherpesvirus 1,sorex araneus gammaherpesvirus 1,0,462298,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
4040842,sperm whale gammaherpesvirus,sperm whale gammaherpesvirus,0,655488,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3757161,springbok herpesvirus 1,,,299472,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3757162,springbok herpesvirus 2,,,299473,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
4040843,stejneger's beaked whale gammaherpesvirus,stejneger's beaked whale gammaherpesvirus,0,655489,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3806502,trichechid herpesvirus 1,,,353639,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3698423,tupaia belangeri gammaherpesvirus 1,,,230461,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
27506399,ursid gammaherpesvirus 1,,,1226368,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
4070524,white-headed marmoset gammaherpesvirus,white-headed marmoset gammaherpesvirus,0,690694,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3553246,wild ass herpesvirus,,,93388,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3553248,zebra herpesvirus,,,93389,group i,herpesvirales,herpesviridae,gammaherpesvirinae,GamHPS
3549764,african elephant endotheliolytic herpesvirus,EEHV2,1,91462,group i,herpesvirales,herpesviridae,herpesviridae,NA
3549233,asian elephant endotheliolytic herpesvirus,,,91179,group i,herpesvirales,herpesviridae,herpesviridae,NA
3878925,bat herpesvirus,bat herpesvirus,0,433499,group i,herpesvirales,herpesviridae,herpesviridae,NA
26745919,beluga whale herpesvirus,beluga whale herpesvirus,0,1379306,group i,herpesvirales,herpesviridae,herpesviridae,NA
3645182,cercopithecine herpesvirus 3,,,172652,group i,herpesvirales,herpesviridae,herpesviridae,NA
27696877,cheirogaleid herpesvirus 1,,,1792586,group i,herpesvirales,herpesviridae,herpesviridae,NA
27696879,cheirogaleid herpesvirus 2,,,1792587,group i,herpesvirales,herpesviridae,herpesviridae,NA
3482655,cottontail rabbit herpesvirus,,,52985,group i,herpesvirales,herpesviridae,herpesviridae,NA
4054286,delphinid herpesvirus 9,,,672020,group i,herpesvirales,herpesviridae,herpesviridae,NA
27762755,dzifa herpesvirus,,,1410510,group i,herpesvirales,herpesviridae,herpesviridae,NA
27744673,eidolon helvum herpesvirus 1,eidolon helvum herpesvirus 1,0,1335470,group i,herpesvirales,herpesviridae,herpesviridae,NA
27744675,eidolon helvum herpesvirus 2,eidolon helvum herpesvirus 2,0,1335471,group i,herpesvirales,herpesviridae,herpesviridae,NA
27744677,eidolon helvum herpesvirus 3,eidolon helvum herpesvirus 3,0,1335472,group i,herpesvirales,herpesviridae,herpesviridae,NA
27463390,lorisid herpesvirus 1,,,1792588,group i,herpesvirales,herpesviridae,herpesviridae,NA
27243862,mesoplodon densirostris herpesvirus,mesoplodon densirostris herpesvirus,0,1227348,group i,herpesvirales,herpesviridae,herpesviridae,NA
27568966,odobenus rosmarus divergens herpesvirus,odobenus rosmarus divergens herpesvirus,0,1463499,group i,herpesvirales,herpesviridae,herpesviridae,NA
3596889,ovine herpesvirus 1,,,119207,group i,herpesvirales,herpesviridae,herpesviridae,NA
3575765,callitrichine gammaherpesvirus 3,,,106331,group i,herpesvirales,herpesviridae,lymphocryptovirus,Lmphcrp
27721065,cercopithecus kandti lymphocryptovirus,,,1869105,group i,herpesvirales,herpesviridae,lymphocryptovirus,Lmphcrp
3434835,human gammaherpesvirus 4,EPV,0,10376,group i,herpesvirales,herpesviridae,lymphocryptovirus,Lmphcrp
3682352,lymphocryptovirus 1,,,212718,group i,herpesvirales,herpesviridae,lymphocryptovirus,Lmphcrp
24657645,lymphocryptovirus 2,,,212729,group i,herpesvirales,herpesviridae,lymphocryptovirus,Lmphcrp
26205634,macaca fascicularis lymphocryptovirus,,,1195658,group i,herpesvirales,herpesviridae,lymphocryptovirus,Lmphcrp
3469509,macacine gammaherpesvirus 4,MaHV-4,1,45455,group i,herpesvirales,herpesviridae,lymphocryptovirus,Lmphcrp
26205494,pan troglodytes lymphocryptovirus,pan troglodytes lymphocryptovirus,0,1676471,group i,herpesvirales,herpesviridae,lymphocryptovirus,Lmphcrp
3633200,panine gammaherpesvirus 1,,,159602,group i,herpesvirales,herpesviridae,lymphocryptovirus,Lmphcrp
3575767,papiine gammaherpesvirus 1,,,106332,group i,herpesvirales,herpesviridae,lymphocryptovirus,Lmphcrp
26205514,papio hamadryas lymphocryptovirus,,,1676472,group i,herpesvirales,herpesviridae,lymphocryptovirus,Lmphcrp
3633201,pongine gammaherpesvirus 2,,,159603,group i,herpesvirales,herpesviridae,lymphocryptovirus,Lmphcrp
3765580,saimiri sciureus lymphocryptovirus 3,,,308721,group i,herpesvirales,herpesviridae,lymphocryptovirus,Lmphcrp
3452140,alcelaphine gammaherpesvirus 1,AlHV-1,1,35252,group i,herpesvirales,herpesviridae,macavirus,Maca
3613989,alcelaphine gammaherpesvirus 2,AlHV-2,1,138184,group i,herpesvirales,herpesviridae,macavirus,Maca
23538926,bovine gammaherpesvirus 6,BoHV-6,,1504288,group i,herpesvirales,herpesviridae,macavirus,Maca
3611160,caprine gammaherpesvirus 2,CpHV-2,1,135102,group i,herpesvirales,herpesviridae,macavirus,Maca
